day_of_week,user_type,ride_count,avg_seconds,avg_minutes
Friday,Customer,47499,1760.6328554285353,29.343880923808921
Friday,Subscriber,67614,715.96681160706055,11.932780193451009
Monday,Customer,41927,1837.3034083049145,30.621723471748574
Monday,Subscriber,64004,687.346103368539,11.455768389475651
Saturday,Customer,90371,1866.4686680461623,31.107811134102704
Saturday,Subscriber,38908,825.24827798909973,13.754137966484995
Sunday,Customer,80436,1969.4554677010447,32.824257795017409
Sunday,Subscriber,32569,792.8201664159169,13.213669440265281
Thursday,Customer,33446,1706.4928541529625,28.441547569216041
Thursday,Subscriber,63232,708.87809969636464,11.814634994939411
Tuesday,Customer,32781,1681.9840761416631,28.033067935694383
Tuesday,Subscriber,69879,698.7051904005441,11.645086506675735
Wednesday,Customer,30291,1670.4704367633994,27.841173946056657
Wednesday,Subscriber,66830,702.88074218165821,11.71467903636097